Component,Failure Mode,Repurpose Application,Effectiveness,Notes
Diode (Silicon),Short Circuit,Low-value Resistor,Medium,0.05–2Ω usable range
Diode (Silicon),Short Circuit,Current Path/Jumper,High,1–3A capacity; 50–100mV drop
Diode (Silicon),Short Circuit,Temperature Sensor,Medium,2–3mV/°C; ±3–5°C accuracy
Diode (Silicon),Open Circuit,Mechanical Spacer,High,Preserves PCB spacing and stability
Diode (Silicon),Open Circuit,Antenna Element,Medium,Quarter-wave monopole from leads
Diode (Silicon),Open Circuit,Parasitic Capacitor,Low,0.5–3pF inter-lead capacitance
Diode (Silicon),Parametric Degradation,Environmental Sensor,High,Multi-parameter: temp/humidity/radiation
Diode (Silicon),Parametric Degradation,Random Number Generator,High,1–100 kbits/sec entropy
Diode (Silicon),Parametric Degradation,Degraded Voltage Reference,Medium,±20–100mV stability
Diode (Zener),Voltage Shift,Non-Critical Voltage Reference,Medium,±100–500mV accuracy
Diode (Zener),Voltage Shift,Enhanced Temperature Sensor,High,5–15mV/°C; ±1–2°C accuracy
Diode (Zener),Voltage Shift,Adaptive Voltage Regulation,Medium,Variable reference; environmental compensation
Diode (Zener),Increased Dynamic Resistance,Noise Generator,Medium,DC to several MHz bandwidth
Diode (Zener),Increased Dynamic Resistance,Current Limiting Element,High,Soft limiter; LED/sensor protection
Diode (Zener),Short Circuit,Low-Value Precision Resistor,Medium,0.1–3Ω; current sensing; overcurrent detection
Diode (Zener),Short Circuit,Precision Heat Sink,High,0.25W–5W capacity
Diode (Zener),Open Circuit,Precision Mechanical Spacer,High,Voltage-rated spacing; HV isolation
Diode (Schottky),Short Circuit,Low-Value Shunt Resistor,Medium,Current sense element
Diode (Schottky),Open Circuit,PCB Spacer,High,Maintains board geometry
Diode (Schottky),Leakage Increase,Humidity/Temperature Proxy,Medium,Leakage correlates with environment
Diode (LED),Reduced Light Output,Low-Level Indicator,High,Standby indicators; 8/10 effectiveness
Diode (LED),Reduced Light Output,Temperature Sensor,High,3–8mV/°C; 9/10 effectiveness
Diode (LED),Reduced Light Output,Photodiode (Reverse Bias),Medium,Spectral selectivity preserved; 7/10
Diode (LED),Reduced Light Output,Wavelength-Shifted Source,Medium,±5–20nm shift; 6/10
Diode (LED),Complete Light Failure,Standard Diode Function,Medium,Rectification; 20mA–1A; 6/10
Diode (LED),Complete Light Failure,Photodiode,High,Pure photodetection; 8/10
Diode (LED),Complete Light Failure,Random Event Generator,Medium,Entropy from timing jitter; 7/10
Diode (LED),Intermittent Operation,Thermal Stress Indicator,High,Temperature-dependent operation; 8/10
Diode (Photodiode),Dark Current Increase,Noise Source / RNG,Medium,Dark current fluctuation entropy
Diode (Photodiode),Dark Current Increase,Radiation Detector,Medium,Crude dosimeter
Diode (Photodiode),Sensitivity Loss,Binary Light/Dark Detector,Medium,Simple threshold only
Diode (Photodiode),Open Circuit,Antenna Stub,Low,Lead length sets frequency
Resistor (Carbon Film),Open Circuit,PCB Spacer,High,Preserves board spacing
Resistor (Carbon Film),Open Circuit,RF Parasitic Capacitor,Low,0.2–2pF between leads
Resistor (Carbon Film),Value Drift,Humidity/Temperature Proxy,Medium,ppm/°C increase maps to environment
Resistor (Carbon Film),Short/Low-Ohm Scar,Jumper Wire,Medium,1–3A by lead gauge
Resistor (Metal Film),Open Circuit,Mechanical Spacer,High,Very low parasitic C; RF decoupling
Resistor (Metal Film),Value Drift,Temperature Probe,Medium,More stable than carbon film
Resistor (Metal Film),Short Circuit,Low-Ohm Current Sensor,Medium,mV per amp measurement
Resistor (Wire-Wound),Open Winding,Inductor Form / EMI Choke,Medium,Partial turns for LC tank
Resistor (Wire-Wound),Open Winding,Thermal Mass Spacer,High,Good heat spreading
Resistor (Wire-Wound),Hot-Spot Damage,Low-Value Heater,Medium,Partial short creates heater
Resistor (Wire-Wound),Hot-Spot Damage,Current Shunt,Medium,Low-value resistance path
Resistor (Potentiometer),Dead Spots/Wiper Noise,Multi-Position Switch,Medium,Use good segments of track
Resistor (Potentiometer),Open Track,Fixed Voltage Divider,Medium,Intact end segment functions
Resistor (Thermistor),Value Drift,Relative Trend Sensor,Medium,Tracks temperature trends despite drift
Resistor (Thermistor),Open Circuit,Spacer with Minimal RF Cap,High,Minimal parasitic effects
Capacitor (Ceramic),Open Circuit,PCB Spacer / Parasitic Cap,Low,0.1–2pF remains
Capacitor (Ceramic),Value Drift,Humidity Sensor,Medium,Capacitance vs RH drift
Capacitor (Ceramic),Short Circuit,Fused Link,Low,Sacrificial element only
Capacitor (Electrolytic),Dry-Out / Capacitance Loss,Insulating Spacer,Low,Residual capacitance for timing
Capacitor (Electrolytic),Short Circuit,Fused Link / Thermal Mass,Low,Heat spreading in emergency
Capacitor (Electrolytic),Increased ESR,Crude Heating Element,Medium,ESR as resistive load
Capacitor (Film),Dielectric Breakdown,Fused Protection Element,Low,Parasitic capacitance usable
Capacitor (Film),Capacitance Drift,Crude Timing Element,Medium,Environmental drift sensor
Capacitor (Film),Open Leads,Mechanical Spacer,High,Board stability element
Capacitor (Tantalum),Short Circuit,Fused Link,Low,Non-critical path protection
Capacitor (Tantalum),Capacitance Loss,Weak Timing Element,Low,Residual capacitance
Capacitor (Tantalum),Increased Leakage,Environmental Sensor,Medium,Leakage correlates to temp/humidity
Capacitor (Supercapacitor),Capacitance Fade,Heating Element (ESR),Medium,Large ESR provides resistive heating
Capacitor (Supercapacitor),Capacitance Fade,Backup Timing Source,Low,Residual capacitance for timing
Capacitor (Supercapacitor),Increased ESR,Resistive Load / Health Monitor,Medium,ESR as sensing element
Capacitor (Supercapacitor),Mechanical Swelling,Pressure Indicator,Low,Mechanical stress sensing
Transistor (BJT),Collector-Emitter Short,Low-Value Resistor,Medium,0.05–1Ω usable
Transistor (BJT),Collector-Emitter Short,Thermal Sensor,Medium,Junction drop vs temperature
Transistor (BJT),Open Junction,Mechanical Spacer,High,Preserves PCB geometry
Transistor (BJT),Open Junction,Antenna Stub,Low,Leads used for RF element
Transistor (BJT),Gain Degradation,Noise Source,High,Leakage current exploitable for RNG
Transistor (MOSFET),Drain-Source Short,Low-Value Resistor / Shunt,Medium,0.01–0.1Ω; ampere-range sensing
Transistor (MOSFET),Drain-Source Short,Thermal Pad,Medium,Small heat spreader
Transistor (MOSFET),Drain-Source Short,Current Sensor,Medium,Voltage drop proportional to current
Transistor (MOSFET),Open Circuit,Mechanical Spacer,High,Preserves PCB structure
Transistor (MOSFET),Open Circuit,Capacitive Element,Medium,Gate capacitance 10–1000pF
Transistor (MOSFET),Open Circuit,Antenna Stub,Low,Lead geometry for RF
Transistor (MOSFET),Parameter Drift,Voltage Sensor,Medium,Threshold drift as environmental proxy
Transistor (MOSFET),Parameter Drift,Noise Source / RNG,High,Entropy from leakage fluctuations
Transistor (MOSFET),Parameter Drift,Radiation Monitor,Medium,Leakage scaling with dose
Transistor (Power),Short Circuit,Low-Ohm Resistor / Heat Spreader,Medium,Current path or thermal pad
Transistor (Power),Open Circuit,Spacer / Antenna Stub,Medium,Mechanical or RF element
Transistor (Power),Gain Degradation,Noise Source,Medium,Leakage-based entropy
Transistor (RF),Gain Collapse,Noise Source,Medium,Broadband noise generator
Transistor (RF),Open Junction,Antenna Stub,Low,Frequency-dependent RF element
Transistor (RF),Partial Leakage,Crude RF Detector,Medium,Leakage as RF energy indicator
Transistor (Switching),Open Junction,Spacer / Antenna Stub,Low,Lead length useful at HF/VHF
Transistor (Switching),Shorted Junction,Low-Value Jumper,Medium,Current shunt in non-critical paths
Transistor (Switching),Gain Loss / Parameter Drift,Noise Source / Drift Sensor,Medium,Environmental sensing
Inductor (Ferrite Core),Open Winding,EMI Absorber,Medium,Ferrite core still effective
Inductor (Ferrite Core),Open Winding,Mechanical Spacer,High,Board spacing maintained
Inductor (Ferrite Core),Core Saturation / Damage,Partial Transformer / Thermal Sink,Low,Reduced but usable inductance
Inductor (Ferrite Core),Resistance Increase,Heating Element,Low,Low-power applications
Inductor (Air Core),Open Winding,Antenna Coil Form,Medium,Coil geometry for RF
Inductor (Air Core),Open Winding,PCB Spacer,High,Board layout maintained
Inductor (Air Core),Mechanical Deformation,Crude Strain Sensor,Low,Inductance tracks deformation
Inductor (Choke),Open Winding,EMI Absorber,Medium,Ferrite body still absorbs
Inductor (Choke),Saturation / Core Damage,Crude Thermal Sink,Low,Partial filtering
Inductor (Choke),Resistance Drift,Heating Element / Stress Indicator,Low,Resistance tracks degradation
Inductor (Transformer),Open Winding,Single-Winding Inductor,Medium,Remaining windings functional
Inductor (Transformer),Shorted Turns,Crude Heating Element,Low,Resistive heating
Inductor (Transformer),Core Damage,EMI Absorber Fragments,Low,Ferrite fragments for suppression
IC (Microcontroller),Flash Wear-Out,Fixed-Function Controller,Medium,ROM firmware locked
IC (Microcontroller),Peripheral Failure,Signal Router (Remaining GPIOs),Medium,Fixed pull-ups; partial I/O
IC (Microcontroller),CPU Lockup,Oscillator Source,Low,Internal clock as timing element
IC (Processor),Partial Core Failure,Reduced-Core Computing,High,Task-specific engine
IC (Processor),Cache Errors,Entropy Source,Medium,Bit flips as random data
IC (Processor),I/O Bus Failure,Internal ALU Reuse,Low,Math co-processor if accessible
IC (Memory Controller),Address Line Failure,Reduced Memory Space,Medium,Address remapping
IC (Memory Controller),Timing Drift,Variable Delay Element,Low,Crude timing generator
IC (Power Management),Shorted Regulator,Low-Value Resistor / Thermal Pad,Medium,Heat spreading
IC (Power Management),Open Control Loop,Fixed Voltage Drop Element,Low,Passive voltage offset
IC (Power Management),Drifted Reference,Environmental Voltage Sensor,Medium,Temperature-dependent drift
IC (Communication),Transmitter Burnout,Receiver-Only Mode,Medium,Half-duplex preserved
IC (Communication),Transmitter Burnout,Noise Detector,Low,Broadband detection
IC (Communication),Frequency Drift,Crude RF Oscillator,Medium,Drift as sensing element
IC (Communication),Protocol Logic Failure,Partial Repeater,Low,Limited protocol relay
Sensor (Temperature),Open Circuit,Mechanical Spacer,High,Parasitic capacitance element
Sensor (Temperature),Value Drift,Relative Trend Sensor,Medium,Direction of change; not absolute
Sensor (Temperature),Increased Noise,Entropy Source,Medium,Junction noise as random data
Sensor (Pressure),Reduced Sensitivity,Binary Threshold Detector,Medium,On/off pressure detection
Sensor (Pressure),Mechanical Damage,Vibration / Shock Indicator,Low,Impact detection only
